Latitude,Longitude,Incident Location,Total Severity Score,Crime Count
44.9620691,-93.2518308,2001 Bloomington Ave,13,3
44.9661201,-93.2371794,2459 Riverside Ave S,8,1
44.9667334,-93.2371862,2450 Riverside Ave,48,7
44.9667334,-93.2371862,2450 Riverside Ave S,37,5
44.9667334,-93.2371862,2450 Riverside Ave SE,5,1
44.9678352,-93.2513557,2414 7th St S,16,2
44.9678352,-93.2513557,2512 7th St S,3,1
44.9687121,-93.2390674,525 23rd Ave S,24,3
44.9691871,-93.2430614,418 21th Ave S,3,1
44.9695474,-93.2456411,Riverside Ave / 19th Ave S,10,1
44.9696389,-93.2405875,412 22nd Ave S,63,18
44.969677,-93.243328,400 21st Ave S,11,2
44.970153,-93.229082,620 Fulton St SE,10,2
44.97039909999999,-93.2447281,321 19th Ave S,24,6
44.97039909999999,-93.2447281,321 S 19th Ave,7,2
44.9704306,-93.2289625,615 Fulton St SE,82,12
44.9706605,-93.2469716,309 Cedar Ave S,8,1
44.9707762,-93.2248323,909 Fulton St SE,35,5
44.970807,-93.2475296,320 Cedar Ave S,8,1
44.97081540000001,-93.2278302,701 Fulton St SE,19,5
44.9709238,-93.2538669,2312 6th St S,69,9
44.9709391,-93.2435731,309 19th Ave S,14,4
44.9709416,-93.2459544,300 19th Ave S,10,2
44.9710574,-93.2310298,500 Harvard St SE,93,13
44.9713188,-93.244621,301 19th Ave S,3,1
44.97132329999999,-93.220162,515 Delaware St SE,31,9
44.9714147,-93.246372,275 Cedar Ave S,14,2
44.9716633,-93.2437341,271 19th Ave S,5,1
44.9717239,-93.215684,2829 University Ave SE,5,1
44.971863,-93.2433118,269 19th Ave S,26,5
44.9718999,-93.2360684,220 Delaware St SE,24,7
44.9720156,-93.2283089,417 Walnut St SE,44,6
44.97202960000001,-93.243685,267 19th Ave S,6,2
44.9721382,-93.2295181,614 Delaware St SE,56,8
44.9722884,-93.2306198,526 Delaware St SE,10,2
44.9722984,-93.218632,27th Ave SE & University Ave SE,11,1
44.9723802,-93.2182802,326 27th Ave SE,3,1
44.9724446,-93.236838,210 Delaware St SE,44,8
44.9724639,-93.2338445,Church St SE / Delaware St SE,3,1
44.9724789,-93.231281,516 Delaware St SE,8,2
44.9724815,-93.2267565,401 Oak St SE,5,1
44.9725684,-93.2336608,420 Delaware St SE,13,3
44.97281,-93.2276626,717 Delaware St SE,5,1
44.9728359,-93.2306216,324 Harvard St SE,3,1
44.9728439,-93.2342094,312 Church St SE,11,3
44.9729099,-93.2351426,300 Washington Ave SE,87,18
44.9729548,-93.2437222,225 19th Ave S,14,3
44.9730146,-93.2436399,229 19th Ave S,29,5
44.9731495,-93.2323379,420 Washington Ave SE,21,4
44.97318,-93.233512,321 Church St SE,3,1
44.9731878,-93.2323562,308 Harvard St SE,5,1
44.9732078,-93.2430163,222 21st Ave S,3,1
44.9734211,-93.2258775,880 Washington Ave SE,5,1
44.973503,-93.219838,2515 University Ave SE,3,1
44.9735239,-93.2372397,1 Washington Ave SE,12,3
44.97358800000001,-93.2319166,500 Block of Washington Ave SE,8,1
44.9735932,-93.2311148,551 Washington Ave SE,6,1
44.9735953,-93.2271132,Washington Ave SE & Oak St SE,8,1
44.9739196,-93.2333412,421 Washington Ave SE,8,2
44.9739246,-93.2315077,501 Washington Ave SE,5,1
44.9742241,-93.237246,222 Pleasant St SE,5,1
44.974278,-93.2236876,Huron Blvd SE & University Ave,3,1
44.974379,-93.2295986,615 Washington Ave SE,66,8
44.9744394,-93.2335608,207 Church St SE,8,2
44.974533,-93.2342672,206 Church St SE,6,2
44.9746746,-93.2364356,207 Pleasant St SE,11,3
44.9747577,-93.2325142,200 Union St SE,23,7
44.9749066,-93.2371164,128 Pleasant St SE,30,2
44.97506140000001,-93.2314671,115 Union St SE,3,1
44.9750926,-93.2296758,123 Harvard St SE,41,11
44.9750926,-93.2296758,123 Harvrad St SE,3,1
44.9750926,-93.2296758,123 Havard St SE,3,1
44.975264,-93.2362793,117 Pleasant St SE,49,8
44.975283,-93.2279407,200 Oak St SE,8,2
44.9753289,-93.2323186,110 Union St SE,6,2
44.9754338,-93.2345524,116 Church St,3,1
44.9754338,-93.2345524,116 Church St SE,36,8
44.9754997,-93.2265932,Univeristy Ave SE / Oak St SE,7,1
44.9755,-93.233224,111 Church St SE,10,2
44.9756227,-93.2257624,2009 University Ave SE,10,2
44.9756502,-93.2338718,200 Church St SE,5,1
44.9757911,-93.2481214,1300 2nd St S,5,1
44.97619359999999,-93.2330712,89 Church St SE,11,3
44.9762376,-93.2316035,500 Pillsbury Dr SE,5,1
44.9763483,-93.2348827,84 Church St SE,5,1
44.9766611,-93.23783,75 E River Pkwy,4,1
44.9769004,-93.184302,1175 Fifield Ave,5,1
44.9769072,-93.2335175,Church St SE & Pillsbury Dr SE,3,1
44.9770901,-93.2283819,1925 University Ave SE,5,1
44.9772223,-93.233627,315 Pillsbury Dr SE,15,1
44.9772566,-93.1868341,1180 Gibbs Ave,3,1
44.9773321,-93.2294932,315 19th Ave SE,3,1
44.9774099,-93.2321522,15 Church St SE,3,1
44.9774165,-93.2387419,2025 E River Rd,3,1
44.9776789,-93.2366901,192 Pillsbury Dr SE,8,1
44.977753,-93.2650108,1166 Fifeld St,3,1
44.977753,-93.2650108,615 Fulton Ave SE,6,2
44.977753,-93.2650108,701 Fulton Ave SE,3,1
44.9777808,-93.2361176,Pillsbury Dr SE / Pleasant St SE,5,1
44.9777808,-93.2361176,Pleasant St SE & Pillsbury Dr SE,3,1
44.9777808,-93.2361176,Pleasant St SE / Pillsbury Dr SE,26,4
44.9779021,-93.2353227,27 Pleasant St SE,3,1
44.9779031,-93.2334843,10 Church St Bldg,6,1
44.9780563,-93.2217925,2231 6th St SE,11,3
44.9780834,-93.2325741,1625 University Ave SE,15,1
44.9781903,-93.22458650000002,2010 6th St SE,3,1
44.97821219999999,-93.2343286,9 Pleasant St SE,12,4
44.9783224,-93.2322582,317 17th Ave SE,9,2
44.9784123,-93.2338001,16th Ave SE & University Ave SE,8,1
44.97841409999999,-93.1836764,1237 Fifield Ave,3,1
44.9784502,-93.2313744,326 17th Ave SE,23,6
44.9784735,-93.2609204,505 Washington Ave S,4,1
44.9784794,-93.1850324,1269 Gibbs Ave,3,1
44.9788074,-93.2295218,1815 4th St SE,5,1
44.9788556,-93.1867316,2046 Knapp St,8,2
44.978929,-93.2368291,159 Pillsbury Dr SE,5,1
44.9789636,-93.2351825,University Ave SE & Pleasant St,3,1
44.9790093,-93.2326984,326 16th Ave SE,5,1
44.979128,-93.232254,4th St SE / 17th Ave SE,11,1
44.9791669,-93.2289459,1811 5th St SE,5,1
44.9792638,-93.2252637,2001 6th St SE,6,2
44.9794095,-93.2350247,319 15th Ave SE,3,1
44.97949759999999,-93.2319943,1625 4th St SE,16,2
44.98030989999999,-93.2392752,1212 University Ave SE,5,1
44.9804925,-93.2357823,14th Ave SE & 4th St SE,19,2
44.9805948,-93.2404341,1122 University Ave SE,57,11
44.981412,-93.2327237,516 15th Ave SE,8,2
44.9814744,-93.2350077,5th St SE / 14th Ave SE,8,1
44.9818592,-93.2456331,2nd St SE / 8th Ave SE,9,1
44.98336399999999,-93.2320854,701 15th Ave SE,45,7
44.9835704,-93.1845358,1994 Buford Ave,5,1
44.9838892,-93.2394427,1039 5th St SE,6,2
44.985094,-93.1832958,1985 Buford Ave,5,1
44.9855712,-93.2372254,21 11th Ave SE,5,1
44.9856449,-93.2120799,2904 Fairmount St SE,5,1
44.9857685,-93.1813563,1472 Gortner Ave,8,1
44.98764329999999,-93.2354485,1100 Como Ave SE,8,1
44.9881909,-93.2135836,1001 29th Ave SE,5,1
44.9882806,-93.2145092,1004 27th Ave SE,3,1
44.98856199999999,-93.2150044,1012 27th Ave SE,3,1
44.9889488,-93.2147651,1024 27th Ave SE,8,2
44.98940409999999,-93.214355,1028 27th Ave SE,3,1
44.98942390000001,-93.2149485,1038 27th Ave SE,6,2
44.9897306,-93.188342,1536 Cleveland Ave N,5,1
44.9903183,-93.2116588,2901 Talmage Ave SE,3,1
44.9907918,-93.2142979,1060 27th Ave SE,3,1
44.9908802,-93.2147552,1066 27th Ave SE,8,2
44.9909881,-93.2131369,1051 29th Ave SE,3,1
44.991173,-93.2147615,1070 27th Ave SE,3,1
44.9916706,-93.1769764,Fairview Ave N / Larpenteur Ave,5,1
44.9918562,-93.1769681,1478 Fairview Ave,5,1
45.00498,-93.261208,1625 4th St S,3,1
45.0082594,-93.2611547,1925 4th St S,16,4
45.0592534,-93.36774,1801 Dudley Ave,5,1
