Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
MP 24-64317,Assault,3/8/2024 7:47,03/14/24,2450 Riverside Ave,MPD
UM 24-065641,Theft,03/13/2024 1100,03/13/24,300 19th Ave S,Inactive
UM 24-066100,Theft,03/13/2024 0930,03/13/24,420 Washington Ave SE,Inactive
UM 24-065011,Hit/Run No Injury,03/12/2024 1830,03/12/24,14th Ave SE / University Ave SE,CARLSON
UM 24-064354,Damage to Property,03/01/2024 0845,03/12/24,2106 4th St S,THOMAS
UM 24-063504,Burglary of Business,03/07/2024 1030,03/11/24,2017 Buford Ave,Inactive
UM 24-063444,Burglary of Business / Damage to Property,03/10/2024 2145,03/11/24,2030 University Ave SE,CARLSON
UM 24-063632,Auto Theft,03/11/2024 1331,03/11/24,1002 Essex St SE,THOMAS
UM 24-063792,Miscellaneous,03/11/2024 1610,03/11/24,909 Fulton St SE,Closed
UM 24-063845,Non-Vehicular Accident,03/11/2024 1657,03/11/24,University Ave SE / Huron Blvd SE,Closed
UM 24-064071,Missing Person,03/11/2024 2048,03/11/24,1458 Cleveland Ave N,HUCK
MP 24-52051,Assault,2/28/2024 17:40,03/11/24,2450 Riverside Ave,MPD
MP 24-702619,Damage to Motor Vehicle,2/29/2024 9:20,03/11/24,909 Fulton St SE,MPD
MP 24-702643,Theft from Motor Vehicle,3/2/2024 0:00,03/11/24,4th St SE & 25th Ave SE,MPD
UM 24-062907,Assist Other Agency,03/10/2024 1740,03/10/24,551 Washington Ave SE,Closed
UM 24-062426,Trespass,03/10/2024 0348,03/10/24,501 Washington Ave SE,Closed
UM 24-061351,Flee Police in Motor Vehicle,03/09/2024 0501,03/09/24,13th Ave SE / 4th St SE,Closed
UM 24-061341,Trespass,03/09/2024 0425,03/09/24,401 Oak St SE,Closed
UM 24-061232,Non-Vehicular Accident,02/25/2024 0053,03/09/24,601 Delaware St SE,Closed
UM 24-061185,Damage to Motor Vehicle,03/06/2024 1400,03/08/24,501 Washington Ave SE,Closed
UM 24-061082,Cancelled IPS,03/08/2024 2149,03/08/24,1312 4th St SE,CARLSON
UM 24-060668,Driving After Suspension,03/08/2024 1524,03/08/24,606 Washington Ave SE,Closed - Cited
UM 24-060663,Mysterious Disappearance,05/26/2023 0000,03/08/24,420 Delaware St SE,Closed
UM 24-059279,Recovered Vehicle,03/07/2024 0834,03/07/24,12th Ave SE / Brook Ave SE,Jurisdiction Transfer
UM 24-059291,Mysterious Disappearance,03/07/2024 0800,03/07/24,515 Delaware St SE,Inactive
UM 24-059581,Trespass,03/07/2024 1410,03/07/24,1994 Buford Ave,Inactive
UM 24-059762,Warrant,03/07/2024 1719,03/07/24,2618 Essex St SE,Closed - Arrest
UM 24-059945,Trespass,03/07/2024 2029,03/07/24,300 Washington Ave SE,Closed - Arrest
UM 24-060072,Assault w/ Dangerous Weapon,03/07/2024 2310,03/07/41,500 Harvard St SE,Jurisdiction Transfer
UM 24-058985,Driving After Revocation,03/06/2024 2150,03/07/24,Unviersity Ave SE / Bedford St SE,Closed - Cited
UM 24-059067,Narcotics Violation / Warrant,03/06/2024 2332,03/07/24,4th St SE / Central Ave SE,CARLSON
UM 24-058273,Theft from Building,03/06/2024 0845,03/06/24,615 Washington Ave SE,CARLSON
UM 24-058293,Theft,03/03/2024 1222,03/06/24,1212 Unviersity Ave SE,HUCK
UM 24-058425,Trespass / Obstruct Legal Process,03/06/2024 1228,03/06/24,300 Washington Ave SE,Closed - Arrest
UM 24-058615,Theft From Motor Vehicle,03/06/2024 1210,03/06/24,401 Oak St SE,Closed
UM 24-058716,Bike Theft,03/06/2024 0800,03/06/24,319 15th Ave SE,Closed
UM 24-058767,Recovered Property,03/06/2024 1736,03/06/24,421 Washington Ave SE,Closed
UM 24-058814,Narcotics Violation,03/06/2024 1817,03/06/24,629 2nd St SE,THOMAS
UM 24-058886,Auto Theft,02/14/2024 0000,03/06/24,500 Harvard St SE,Closed
UM 24-059025,Unsecure Business,03/06/2024 2249,03/06/24,2904 Fairmount St SE,Closed
UM 24-057600,Criminal Sexual Conduct - Rape,03/03/2024 0230,03/05/24,210 Delaware St SE,FARRAR
UM 24-057709,Trespass,03/05/2024 1622,03/05/24,321 Church St SE,Closed - Cited
TC24-003,Stalking,1/7/2023 1740,01/17/24,Yudof Hall,CSA Report
TC24-004,Stalking,September 2023 - 1/19/2024,01/19/24,Minneapolis Campus,CSA Report
TC24-004,Domestic Violence,September 2023 - 1/19/2024,01/19/24,Minneapolis Campus (Electronic),CSA Report
TC24-005,Domestic Violence,Unknown,01/22/24,Minneapolis Campus (Electronic),CSA Report
TC24-006,Domestic Violence,August 2022-November 2023,01/23/24,Sanford Hall,CSA Report
TC24-006,Stalking,August 2022-November 2023,01/23/24,Sanford Hall,CSA Report
TC24-007,Theft,1/24/2024,02/02/24,1478 Fairview Ave,CSA Report
TC24-008,Stalking x2,1/28/2024,01/28/24,Middlebrook Hall,CSA Report
TC24-009,Stalking,Unknown,01/29/24,Minneapolis Campus,CSA Report
TC24-010,Rape,10/17/2023,01/17/24,On Campus Res Hall,CSA Report
TC24-012,Stalking,Unknown,01/31/24,Minneapolis Campus,CSA Report
TC24-013,Stalking,1/31/2024 - 2/2/2024,02/05/24,Minneapolis Campus (Electronic),CSA Report
TC24-014,Liquor Law Violations x2,2/2/24 1115,02/06/24,Territoral Hall,Disciplinary Referral - Closed
TC24-014,Drug Law Violations x2,2/2/24 1115,02/06/24,Territoral Hall,Disciplinary Referral - Closed
TC24-015,Stalking,Jan-24,02/10/24,Minneapolis Campus,CSA Report
TC24-016,Rape,2/9/2024,02/11/24,On Campus Res Hall,CSA Report
TC24-017,Drug Law Violations x2,2/16/2024,02/16/24,Sanford Hall,Disciplinary Referral - Closed
TC24-018,Liquor Law Violation,02/17/2024 0011,02/17/24,Sanford Hall,Disciplinary Referral - Closed
TC24-019,Fondling,1/25/2024,02/08/24,Coffman Memorial Union,CSA Report
TC24-020,Aggravated Assault,2/16-19/2024,02/19/24,Fraternity House,CSA Report
TC24-021,Aggravated Assault,Sep-23,02/20/24,Fraternity House,CSA Report
TC24-022,Liquor Law Violation,02/23/2024 0015,02/23/24,Middlebrook Hall,Disciplinary Referral - Closed
TC24-023,Liquor Law Violation,2/23/2024 0120,02/23/24,Territorial Hall,Disciplinary Referral - Closed
TC24-024,Liquor Law Violations x12,2/24/2024,02/25/24,Student Life Center Residential SpaceDisciplinary Referral - Closed,
TC24-025,Stalking,2/24/2024,02/26/24,Minneapolis Campus (Electronic),CSA Report
TC24-026,Liquor Law Violations x4,2/25/2024 0115,02/25/24,Frontier Hall,Disciplinary Referral - Closed
TC24-027,Rape,Unknown,02/27/24,Minneapolis Campus,CSA Report
TC24-028,Domestic Violence,2/23/2024,02/27/24,Sorority House,CSA Report
TC24-029,Stalking x2,Unknown,02/29/24,Minneapolis Campus (Electronic),CSA Report
UM 24-056544,Theft from Motor Vehicle / Damage to Motor Vehicle 03/04/2024 0000,03/04/24,2721 4th St SE,Inactive
UM 24-056693,Crisis Intervention,03/04/2024 1330,03/04/24,701 Fulton St SE,Closed
UM 24-057064,Recovered Property,03/04/2024 0800,03/04/24,117 Pleasant St SE,Inactive
UM 24-056116,Trespass,03/03/2024 2054,03/03/24,615 Washington Ave SE,Inactive
UM 24-056258,Driving After Revocation / No Proof of,03/03/2024 2346,03/03/24,University Ave SE / 14th Ave SE,Closed - Cited
,Insurance,,
UM 24-054328,Trespass,03/02/2024 0202,03/02/24,615 Washington Ave SE,Inactive
UM 24-054516,Health Welfare Hold / Crisis Intervention,03/02/2024 0921,03/02/24,2301 University Ave SE,Inactive
UM 24-054637,Health Welfare Hold,03/02/2024 1220,03/02/24,317 Huron Blvd SE,Inactive
UM 24-055124,Recovered Property,03/02/2024 2126,03/02/24,500 Harvard St SE,Closed
UM 24-053532,Driving After Suspension / No Proof of,03/01/2024 1242,03/01/24,University Ave SE / 11th Ave SE,Closed - Cited
,Insurance,,
UM 24-053676,Damage to Motor Vehicle,03/01/2024 1320,03/01/24,80 Church St SE,Inactive
UM 24-053681,Auto Theft,03/01/2024 0404,03/01/24,21 11th Ave SE,HUCK
UM 24-053752,Damage to Motor Vehicle,02/29/2024 0800,03/01/24,385 E River Pkwy,Inactive
UM 24-054076,Warrant,03/01/2024 2123,03/01/24,University Ave SE / 12th Ave SE,Closed - Arrest
UM 24-052344,Warrant,02/29/2024 0520,02/29/24,Hennepin Ave E / 27th Ave SE,Closed - Arrest
UM 24-053034,Crisis Intervention,02/29/2024 2122,02/29/24,614 Delaware St SE,Closed
UM 24-052409,Recovered Vehicle,02/29/2024 0819,02/29/24,Brook Ave SE / 12th Ave SE,Jurisdiction Transfer
UM 24-052590,Narcotics Violation / Warrant,02/29/2024 1259,02/29/24,225 19th Ave S,FARRAR
UM 24-052679,Impound Abandoned Vehicle,02/29/2024 1425,02/29/24,210 Delaware St SE,Closed - Cited
UM 24-052694,Damage to Motor Vehicle,02/29/2024 1300,02/29/24,80 Church St SE,Inactive
