Nature of Offense,Incident Location,City,State,Country
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Overdose,1 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America
Intimidation: Religion Bias,10 Church St Bldg,Minneapolis,Minnesota,United States of America
Bike Theft,100 Union St SE,Minneapolis,Minnesota,United States of America
Theft,1000 University Ave SE,Minneapolis,Minnesota,United States of America
Theft,1001 29th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1004 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,101 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1012 27th Ave SE,Minneapolis,Minnesota,United States of America
Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1025 29th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1028 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1028 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1051 29th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1060 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America
Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1068 27th Ave,Minneapolis,Minnesota,United States of America
Bike Theft,1070 27th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America
Assault,1100 Como Ave SE,Minneapolis,Minnesota,United States of America
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Discharge Weapon,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Stalking,1122 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,115 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,116 Church St,Minneapolis,Minnesota,United States of America
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,116 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1166 Fifeld St,Minneapolis,Minnesota,United States of America
Bike Theft,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct-Molest,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Fondling,117 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,1175 Fifield Ave,Minneapolis,Minnesota,United States of America
Bike Theft,1180 Gibbs Ave,Minneapolis,Minnesota,United States of America
Theft,1212 University Ave SE,Minneapolis,Minnesota,United States of America
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Harvrad St SE,Minneapolis,Minnesota,United States of America
Bike Theft,123 Havard St SE,Minneapolis,Minnesota,United States of America
Bike Theft,1237 Fifield Ave,Minneapolis,Minnesota,United States of America
Bike Theft,1269 Gibbs Ave,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,128 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,1300 2nd St S,Minneapolis,Minnesota,United States of America
Burglary,1472 Gortner Ave,Minneapolis,Minnesota,United States of America
Theft,1478 Fairview Ave,Minneapolis,Minnesota,United States of America
Hit and Run with Injury,14th Ave SE & 4th St SE,Minneapolis,Minnesota,United States of America
Assault,14th Ave SE & 4th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,15 Church St SE,Minneapolis,Minnesota,United States of America
Theft,1536 Cleveland Ave N,Minneapolis,Minnesota,United States of America
Theft,159 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Bike Theft,1625 4th St S,Minneapolis,Minnesota,United States of America
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America
Assault,1625 4th St SE,Minneapolis,Minnesota,United States of America
Rape,1625 University Ave SE,Minneapolis,Minnesota,United States of America
Assault,16th Ave SE & University Ave SE,Minneapolis,Minnesota,United States of America
Theft,1801 Dudley Ave,Minneapolis,Minnesota,United States of America
Theft,1811 5th St SE,Minneapolis,Minnesota,United States of America
Theft,1815 4th St SE,Minneapolis,Minnesota,United States of America
Assault,192 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America
Bike Theft,1925 4th St S,Minneapolis,Minnesota,United States of America
Theft,1925 4th St S,Minneapolis,Minnesota,United States of America
Theft,1925 University Ave SE,Minneapolis,Minnesota,United States of America
Theft,1985 Buford Ave,Minneapolis,Minnesota,United States of America
Theft,1994 Buford Ave,Minneapolis,Minnesota,United States of America
Theft,200 Church St SE,Minneapolis,Minnesota,United States of America
Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Oak St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Theft,200 Union St SE,Minneapolis,Minnesota,United States of America
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America
Bike Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,2010 6th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,2025 E River Rd,Minneapolis,Minnesota,United States of America
Theft,2046 Knapp St,Minneapolis,Minnesota,United States of America
Bike Theft,2046 Knapp St,Minneapolis,Minnesota,United States of America
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America
Theft,207 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,207 Church St SE,Minneapolis,Minnesota,United States of America
Indecent Conduct,207 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,21 11th Ave SE,Minneapolis,Minnesota,United States of America
Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Fondling,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Fondling,210 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Stalking,220 Delaware St SE,Minneapolis,Minnesota,United States of America
Bike Theft,222 21st Ave S,Minneapolis,Minnesota,United States of America
Theft,222 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America
Bike Theft,2231 6th St SE,Minneapolis,Minnesota,United States of America
Burglary,225 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,225 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,229 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,229 19th Ave S,Minneapolis,Minnesota,United States of America
Theft from Person,229 19th Ave S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Theft,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2312 6th St S,Minneapolis,Minnesota,United States of America
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America
Assault,2414 7th St S,Minneapolis,Minnesota,United States of America
Bike Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Theft,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Theft,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Sexual Assault,2450 Riverside Ave S,Minneapolis,Minnesota,United States of America
Theft,2450 Riverside Ave SE,Minneapolis,Minnesota,United States of America
Assault,2459 Riverside Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,2512 7th St S,Minneapolis,Minnesota,United States of America
Bike Theft,2515 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,267 19th Ave S,Minneapolis,Minnesota,United States of America
Assault,269 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,27 Pleasant St SE,Minneapolis,Minnesota,United States of America
Theft,271 19th Ave S,Minneapolis,Minnesota,United States of America
Overdose,275 Cedar Ave S,Minneapolis,Minnesota,United States of America
Assault,275 Cedar Ave S,Minneapolis,Minnesota,United States of America
Hit and Run with Injury,27th Ave SE & University Ave SE,Minneapolis,Minnesota,United States of America
Theft,2829 University Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,2901 Talmage Ave SE,Minneapolis,Minnesota,United States of America
Theft,2904 Fairmount St SE,Minneapolis,Minnesota,United States of America
Possession of Firearm / Narcotics Violation /,2nd St SE / 8th Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,301 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,308 Harvard St SE,Minneapolis,Minnesota,United States of America
Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America
Assault,309 Cedar Ave S,Minneapolis,Minnesota,United States of America
Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America
Bike Theft,315 19th Ave SE,Minneapolis,Minnesota,United States of America
Criminal Sexual Conduct - Rape,315 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America
Theft,317 17th Ave SE,Minneapolis,Minnesota,United States of America
Stalking,317 17th Ave SE,Minneapolis,Minnesota,United States of America
Bike Theft,319 15th Ave SE,Minneapolis,Minnesota,United States of America
Assault,320 Cedar Ave S,Minneapolis,Minnesota,United States of America
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
Theft from Person,321 19th Ave S,Minneapolis,Minnesota,United States of America
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America
