Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Overdose,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9736178,-93.2238103
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9736178,-93.2238103
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9736178,-93.2238103
Intimidation: Religion Bias,10 Church St Bldg,Minneapolis,Minnesota,United States of America,44.97780325,-93.2332510255882
Bike Theft,100 Union St SE,Minneapolis,Minnesota,United States of America,44.9758667,-93.2323641060466
Theft,1000 University Ave SE,Minneapolis,Minnesota,United States of America,44.971196,-93.2159384
Theft,1001 29th Ave SE,Minneapolis,Minnesota,United States of America,44.988123,-93.212761
Bike Theft,1004 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98931603030303,-93.21505821212122
Bike Theft,101 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.97585185,-93.23627514241731
Bike Theft,1012 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98941087878788,-93.21505615151516
Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9889784,-93.2148021
Bike Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9889784,-93.2148021
Bike Theft,1025 29th Ave SE,Minneapolis,Minnesota,United States of America,44.98956685714286,-93.21252397619048
Bike Theft,1028 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98960057575758,-93.21505203030303
Bike Theft,1028 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98960057575758,-93.21505203030303
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98993407317073,-93.21504668292683
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98993407317073,-93.21504668292683
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America,44.9835998,-93.23947675
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America,44.9835998,-93.23947675
Bike Theft,1051 29th Ave SE,Minneapolis,Minnesota,United States of America,44.98964114285714,-93.21252335714286
Bike Theft,1060 27th Ave SE,Minneapolis,Minnesota,United States of America,44.990143475609756,-93.2150449390244
Bike Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America,44.990200585365855,-93.21504446341463
Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America,44.990200585365855,-93.21504446341463
Bike Theft,1068 27th Ave,Minneapolis,Minnesota,United States of America,45.016700163265305,-93.24440044897959
Bike Theft,1070 27th Ave SE,Minneapolis,Minnesota,United States of America,44.99023865853658,-93.21504414634147
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America,44.975283149999996,-93.23230243524605
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America,44.975283149999996,-93.23230243524605
Assault,1100 Como Ave SE,Minneapolis,Minnesota,United States of America,44.987996,-93.236118
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America,44.9723056,-93.2342387
