Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Overdose,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9735239,-93.23723969999999
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9735239,-93.23723969999999
Bike Theft,1 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9735239,-93.23723969999999
Intimidation: Religion Bias,10 Church St Bldg,Minneapolis,Minnesota,United States of America,44.9779031,-93.2334843
Theft,1001 29th Ave SE,Minneapolis,Minnesota,United States of America,44.9881909,-93.21358359999999
Bike Theft,1004 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9882806,-93.2145092
Bike Theft,1012 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98856199999999,-93.2150044
Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9889488,-93.2147651
Bike Theft,1024 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9889488,-93.2147651
Bike Theft,1028 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98940409999999,-93.214355
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98942390000001,-93.21494849999999
Bike Theft,1038 27th Ave SE,Minneapolis,Minnesota,United States of America,44.98942390000001,-93.21494849999999
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America,44.9838892,-93.2394427
Bike Theft,1039 5th St SE,Minneapolis,Minnesota,United States of America,44.9838892,-93.2394427
Bike Theft,1051 29th Ave SE,Minneapolis,Minnesota,United States of America,44.9909881,-93.2131369
Bike Theft,1060 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9907918,-93.21429789999999
Bike Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9908802,-93.2147552
Theft,1066 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9908802,-93.2147552
Bike Theft,1070 27th Ave SE,Minneapolis,Minnesota,United States of America,44.991173,-93.21476150000001
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America,44.9753289,-93.2323186
Bike Theft,110 Union St SE,Minneapolis,Minnesota,United States of America,44.9753289,-93.2323186
Assault,1100 Como Ave SE,Minneapolis,Minnesota,United States of America,44.98764329999999,-93.23544849999999
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America,44.9755,-93.23322399999999
Theft,111 Church St SE,Minneapolis,Minnesota,United States of America,44.9755,-93.23322399999999
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Criminal Sexual Conduct - Rape,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Discharge Weapon,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Stalking,1122 University Ave SE,Minneapolis,Minnesota,United States of America,44.9805948,-93.2404341
Bike Theft,115 Union St SE,Minneapolis,Minnesota,United States of America,44.97506140000001,-93.23146709999999
Bike Theft,116 Church St,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Bike Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Indecent Conduct,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Bike Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Theft,116 Church St SE,Minneapolis,Minnesota,United States of America,44.9754338,-93.2345524
Bike Theft,1166 Fifeld St,Minneapolis,Minnesota,United States of America,44.977753,-93.2650108
